# Process                ,Final state              ,Cross section            ,Events expected          ,Path                                                                            ,Configuration            ,Filename tag             
nnh_e2e2                 ,nnh_e2e2                 ,0.0101                   ,51.005                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_e2e2.e0.p0.whizard195        ,CEPC_V4                  ,nnh_e2e2.e0.p0           
nnh_e3e3                 ,nnh_e3e3                 ,2.93                     ,14796.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_e3e3.e0.p0.whizard195        ,CEPC_V4                  ,nnh_e3e3.e0.p0           
nnh_gg                   ,nnh_gg                   ,3.97                     ,20048.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_gg.e0.p0.whizard195          ,CEPC_V4                  ,nnh_gg.e0.p0             
nnh_ss                   ,nnh_ss                   ,0.0                      ,0.0                      ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_ss.e0.p0.whizard195          ,CEPC_V4                  ,nnh_ss.e0.p0             
nnh_ww                   ,nnh_ww                   ,9.95                     ,50247.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_ww.e0.p0.whizard195          ,CEPC_V4                  ,nnh_ww.e0.p0             
#nnh_X                    ,nnh_X                    ,46.3                     ,233815.0                 ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_X.e0.p0.whizard195           ,CEPC_V4                  ,nnh_X.e0.p0              
nnh_zz                   ,nnh_zz                   ,1.22                     ,6161.0                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_zz.e0.p0.whizard195          ,CEPC_V4                  ,nnh_zz.e0.p0             
qqh_aa                   ,qqh_aa                   ,0.312                    ,1575.6                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_aa.e0.p0.whizard195          ,CEPC_V4                  ,qqh_aa.e0.p0             
qqh_az                   ,qqh_az                   ,0.209                    ,1055.45                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_az.e0.p0.whizard195          ,CEPC_V4                  ,qqh_az.e0.p0             
qqh_bb                   ,qqh_bb                   ,78.9                     ,398445.0                 ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_bb.e0.p0.whizard195          ,CEPC_V4                  ,qqh_bb.e0.p0             
qqh_cc                   ,qqh_cc                   ,3.98                     ,20099.0                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_cc.e0.p0.whizard195          ,CEPC_V4                  ,qqh_cc.e0.p0             
qqh_e2e2                 ,qqh_e2e2                 ,0.03                     ,151.5                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_e2e2.e0.p0.whizard195        ,CEPC_V4                  ,qqh_e2e2.e0.p0           
qqh_e3e3                 ,qqh_e3e3                 ,8.65                     ,43682.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_e3e3.e0.p0.whizard195        ,CEPC_V4                  ,qqh_e3e3.e0.p0           
qqh_gg                   ,qqh_gg                   ,11.7                     ,59085.0                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_gg.e0.p0.whizard195          ,CEPC_V4                  ,qqh_gg.e0.p0             
qqh_ss                   ,qqh_ss                   ,0.0                      ,0.0                      ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_ss.e0.p0.whizard195          ,CEPC_V4                  ,qqh_ss.e0.p0             
qqh_ww                   ,qqh_ww                   ,29.4                     ,148470.0                 ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_ww.e0.p0.whizard195          ,CEPC_V4                  ,qqh_ww.e0.p0             
#qqh_X                    ,qqh_X                    ,137.0                    ,691850.0                 ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_X.e0.p0.whizard195           ,CEPC_V4                  ,qqh_X.e0.p0              
qqh_zz                   ,qqh_zz                   ,3.61                     ,18230.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pqqh_zz.e0.p0.whizard195          ,CEPC_V4                  ,qqh_zz.e0.p0             
